document,exact_match,precision,recall,f1,signature_accuracy,signature_precision,signature_recall,signature_f1
cord_validation_0000_page_1,0.2381,0.2381,0.4167,0.303,,,,
cord_validation_0001_page_1,0.1429,0.1875,0.5,0.2727,,,,
cord_validation_0002_page_1,0.2308,0.2308,0.3333,0.2727,,,,
cord_validation_0003_page_1,0.4118,0.4118,0.7778,0.5385,,,,
cord_validation_0004_page_1,0.1765,0.1765,0.375,0.24,,,,
cord_validation_0005_page_1,0.0,0.0,0.0,0.0,,,,
cord_validation_0006_page_1,0.4762,0.625,0.9091,0.7407,,,,
cord_validation_0007_page_1,0.3077,0.3077,0.4444,0.3636,,,,
cord_validation_0008_page_1,0.4706,0.4706,0.6154,0.5333,,,,
cord_validation_0009_page_1,0.1538,0.1538,0.3333,0.2105,,,,
AVERAGE,0.2608,0.2802,0.4705,0.3475,0.0,0.0,0.0,0.0
